company,product,typename,inches,opsys,price_euros,resolution_width,resolution_height,aspect_ratio,resolution_type,touchscreen,cpu_manufacturer,cpu_model,cpu_clock_speed_GHz,ram_gb,storage_gb,storage_type,weight_kg,gpu_brand,gpu_model
MSI,GL72M 7REX,Gaming,17.3,Windows 10,1199.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,256.0,SSD,2.7,Nvidia GeForce GTX ,1050
Toshiba,Satellite Pro,Notebook,15.6,Windows 10,943.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,2.0,Intel HD Graphics ,620
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Windows 10,1334.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,2.0,Intel HD Graphics ,620
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Windows 10,449.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,1024.0,HDD,1.85,Intel HD Graphics ,520
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Windows 10,999.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,256.0,SSD,2.5,Nvidia GeForce GTX ,1050
HP,EliteBook 840,Notebook,14.0,Windows 10,1268.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7300U,2.6,8.0,256.0,SSD,1.48,Intel HD Graphics ,620
Dell,Inspiron 7570,Ultrabook,15.6,Windows 10,1049.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 8250U,1.6,8.0,128.0,SSD,1.9,Nvidia GeForce ,940
HP,Elitebook 850,Notebook,15.6,Windows 10,1144.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.84,Intel HD Graphics ,620
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,Linux,274.99,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3350,1.1,4.0,1024.0,HDD,2.0,Intel HD Graphics ,500
Dell,Inspiron 7570,Notebook,15.6,Windows 10,1142.75,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,2.0,Nvidia GeForce ,940
Dell,Inspiron 3552,Notebook,15.6,Linux,274.9,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3060,1.6,4.0,500.0,HDD,2.2,,
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Windows 10,899.0,1920,1080,1.7777777777777777,Full HD ,No,AMD,A12-Series 9720P,3.6,12.0,2048.0,HDD,2.2,AMD Radeon ,530
HP,ProBook 450,Notebook,15.6,Windows 10,716.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i3 7100U,2.4,8.0,1024.0,HDD,2.1,Nvidia GeForce ,930
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,Windows 10,2099.0,3840,2160,1.7777777777777777,IPS Panel ,Yes,Intel,Core i7 8550U,1.8,16.0,512.0,SSD,1.4,Intel UHD Graphics ,620
Dell,XPS 13,Ultrabook,13.3,Windows 10,1579.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,1.2,Intel UHD Graphics ,620
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Windows 10,1129.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,256.0,SSD,2.4,Nvidia GeForce GTX ,1050
HP,Stream 14-AX001nv,Notebook,14.0,Windows 10,279.0,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3060,1.6,2.0,32.0,Flash Storage,1.44,Intel HD Graphics ,400
Dell,Latitude 5590,Ultrabook,15.6,Windows 10,1607.96,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8650U,1.9,16.0,512.0,SSD,1.88,Intel UHD Graphics ,620
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Windows 10,375.0,1366,768,1.7786458333333333,Touchscreen ,Yes,Intel,Celeron Dual Core N3350,1.1,4.0,32.0,Flash Storage,1.5,Intel HD Graphics ,500
Dell,Inspiron 5570,Ultrabook,15.6,Windows 10,663.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,1024.0,HDD,1.9,AMD Radeon ,530
Dell,XPS 15,Notebook,15.6,Windows 10,2027.42,3840,2160,1.7777777777777777,K Ultra HD ,Yes,Intel,Core i7 7700HQ,2.8,16.0,512.0,SSD,2.06,Nvidia GeForce GTX ,1050
HP,Elitebook 850,Notebook,15.6,Windows 10,1304.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,1.84,Intel HD Graphics ,620
MSI,GP72MVR 7RFX,Gaming,17.3,Windows 10,1409.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,128.0,SSD,2.7,Nvidia GeForce GTX ,1060
HP,Zbook 15,Workstation,15.6,Windows 10,1738.27,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,256.0,SSD,2.6,Nvidia Quadro M,1200
Toshiba,Tecra A50-C-21G,Notebook,15.6,Windows 10,1403.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 6500U,2.5,16.0,512.0,SSD,2.4,Nvidia GeForce ,930
Dell,Inspiron 5570,Notebook,15.6,Windows 10,970.9,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,128.0,SSD,2.02,AMD Radeon ,530
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,No OS,321.99,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3350,1.1,4.0,1024.0,HDD,2.2,Intel HD Graphics ,500
Dell,Inspiron 7577,Gaming,15.6,Windows 10,999.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7300HQ,2.5,8.0,1024.0,HDD,2.65,Nvidia GeForce GTX ,1050
Dell,Inspiron 3567,Notebook,15.6,Windows 10,557.37,1366,768,1.7786458333333333,Touchscreen ,Yes,Intel,Core i5 7200U,2.5,8.0,2048.0,HDD,2.36,Intel HD Graphics ,620
Dell,Latitude 7480,Notebook,14.0,Windows 10,1427.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7300U,2.6,8.0,256.0,SSD,1.36,Intel HD Graphics ,620
HP,250 G6,Notebook,15.6,Windows 10,439.0,1366,768,1.7786458333333333,Other,No,Intel,Core i3 6006U,2.0,4.0,500.0,HDD,1.86,Intel HD Graphics ,520
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Windows 10,945.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,2.0,Intel HD Graphics ,620
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Windows 10,719.0,1600,900,1.7777777777777777,Other,No,Intel,Core i5 7200U,2.5,6.0,128.0,SSD,2.8,Nvidia GeForce GTX ,940
HP,250 G6,Notebook,15.6,Windows 10,639.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,8.0,1024.0,HDD,1.86,Intel HD Graphics ,620
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,No OS,499.0,1366,768,1.7786458333333333,Other,No,Intel,Core i3 6006U,2.0,8.0,256.0,SSD,2.2,Nvidia GeForce ,920
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,Windows 10,389.0,1366,768,1.7786458333333333,Other,No,Intel,Pentium Quad Core N3710,1.6,8.0,2048.0,HDD,2.04,Intel HD Graphics ,405
Dell,Inspiron 5770,Notebook,17.3,Windows 10,1085.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,128.0,SSD,2.8,AMD Radeon ,530
Lenovo,Legion Y520-15IKBN,Gaming,15.6,No OS,809.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 7300HQ,2.5,8.0,128.0,SSD,2.4,Nvidia GeForce GTX ,1050
Dell,Inspiron 5567,Notebook,15.6,Windows 10,899.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,2.33,AMD Radeon R,7
HP,Elitebook 1040,Ultrabook,14.0,Windows 10,1750.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,1.36,Intel HD Graphics ,620
Asus,ZenBook Flip,2 in 1 Convertible,15.6,Windows 10,1099.0,1920,1080,1.7777777777777777,Full HD ,Yes,Intel,Core i7 7500U,2.7,12.0,512.0,SSD,2.26,Nvidia GeForce GT ,940
Acer,Aspire 3,Notebook,15.6,Windows 10,426.0,1366,768,1.7786458333333333,Other,No,AMD,A9-Series 9420,3.0,4.0,128.0,SSD,2.1,AMD Radeon R,5
Asus,Rog Strix,Gaming,17.3,Windows 10,2199.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,AMD,Ryzen 1700,3.0,16.0,256.0,SSD,3.25,AMD Radeon RX ,580
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,Windows 10,489.0,1600,900,1.7777777777777777,Other,No,AMD,A8-Series 7410,2.2,4.0,128.0,SSD,2.6,AMD Radeon R,5
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Windows 10,869.01,1920,1080,1.7777777777777777,Full HD ,Yes,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,1.62,Intel UHD Graphics ,620
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,Windows 10,488.99,1920,1080,1.7777777777777777,Full HD ,No,AMD,A9-Series 9420,3.0,4.0,256.0,SSD,1.91,AMD Radeon R,5
Lenovo,Yoga 11e,Netbook,11.6,Windows 10,553.0,1366,768,1.7786458333333333,IPS Panel ,No,Intel,Celeron Quad Core N3450,1.1,4.0,128.0,SSD,1.59,Intel HD Graphics ,500
Dell,Inspiron 3552,Notebook,15.6,Windows 10,309.0,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3060,1.6,4.0,500.0,HDD,1.8,Intel HD Graphics ,400
Asus,VivoBook E403NA,Notebook,14.0,Windows 10,286.0,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3350,1.1,4.0,32.0,Flash Storage,1.5,Intel HD Graphics ,500
Acer,Aspire 7,Notebook,15.6,Linux,846.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,1024.0,HDD,2.4,Nvidia GeForce GTX ,1050
HP,Omen 17-w212nv,Gaming,17.3,Windows 10,1191.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,128.0,SSD,3.35,Nvidia GeForce GTX ,1050
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,No OS,403.5,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,128.0,SSD,1.85,Intel HD Graphics ,520
Asus,ROG Strix,Gaming,15.6,Windows 10,1655.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,128.0,SSD,2.3,Nvidia GeForce GTX ,1060
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,Windows 10,1099.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.5,Nvidia GeForce ,940
Asus,Zenbook Flip,Ultrabook,13.3,Windows 10,1748.9,1920,1080,1.7777777777777777,Full HD ,Yes,Intel,Core i7 7500U,2.7,16.0,512.0,SSD,1.1,Intel HD Graphics ,620
Lenovo,Thinkpad X1,Ultrabook,14.0,Windows 10,2282.0,2560,1440,1.7777777777777777,IPS Panel ,No,Intel,Core i7 7500U,2.7,8.0,512.0,SSD,1.13,Intel HD Graphics ,620
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,Windows 10,549.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i3 7100U,2.4,4.0,128.0,SSD,1.5,Intel HD Graphics ,620
Dell,Precision 3510,Workstation,15.6,Windows 10,1369.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 6440HQ,2.6,8.0,500.0,HDD,2.23,AMD FirePro W,5130
Dell,Precision 5520,Workstation,15.6,Windows 10,2135.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 6820HQ,2.7,8.0,256.0,SSD,2.0,Nvidia Quadro M,1200
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Windows 10,2509.0,2560,1440,1.7777777777777777,Touchscreen ,Yes,Intel,Core i7 7500U,2.7,16.0,512.0,SSD,1.42,Intel HD Graphics ,620
Asus,Rog GL753VD-GC042T,Gaming,17.3,Windows 10,1039.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,1024.0,HDD,3.0,Nvidia GeForce GTX ,1050
Asus,Rog GL753VE-GC070T,Gaming,17.3,Windows 10,1591.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,256.0,SSD,3.0,Nvidia GeForce GTX ,1050
Acer,Aspire 5,Notebook,15.6,Windows 10,693.99,1366,768,1.7786458333333333,IPS Panel ,No,Intel,Core i5 8250U,1.6,12.0,1024.0,HDD,2.2,Nvidia GeForce MX,130
MSI,Leopard GP72M,Gaming,17.3,Windows 10,1349.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,256.0,SSD,2.7,Nvidia GeForce GTX ,1050
Dell,Inspiron 5567,Notebook,15.6,Linux,778.87,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,2.33,AMD Radeon R,7
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,Windows 10,499.0,1920,1080,1.7777777777777777,Full HD ,No,AMD,A9-Series 9420,3.0,4.0,256.0,SSD,1.91,AMD Radeon ,520
Lenovo,ThinkPad E580,Notebook,15.6,Windows 10,1229.56,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,2.1,AMD Radeon RX ,550
Lenovo,ThinkPad L470,Notebook,14.0,Windows 10,938.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.9,Intel HD Graphics ,620
Dell,Precision M5520,Workstation,15.6,Windows 10,2712.0,3840,2160,1.7777777777777777,K Ultra HD ,Yes,Intel,Core i7 7700HQ,2.8,8.0,256.0,SSD,1.78,Nvidia Quadro M,1200
Lenovo,Thinkpad X1,Ultrabook,14.0,Windows 10,2625.0,2560,1440,1.7777777777777777,IPS Panel ,No,Intel,Core i7 7500U,2.7,16.0,1024.0,SSD,1.13,Intel HD Graphics ,620
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Windows 10,306.0,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3350,1.1,4.0,1024.0,HDD,2.2,Intel HD Graphics ,500
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Windows 10,1529.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,256.0,SSD,2.9,Nvidia GeForce GTX ,1050
Lenovo,ThinkPad E580,Notebook,15.6,Windows 10,1144.5,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,2.1,AMD Radeon RX ,550
Acer,Aspire 7,Notebook,15.6,Linux,879.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,256.0,SSD,2.5,Nvidia GeForce GTX ,1050
MSI,GE73VR 7RF,Gaming,17.3,Windows 10,2249.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,256.0,SSD,2.8,Nvidia GeForce GTX ,1070
Asus,Zenbook 3,Ultrabook,14.0,Windows 10,1873.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7500U,2.7,8.0,512.0,SSD,1.1,Intel HD Graphics ,620
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Windows 10,1747.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 6500U,2.5,16.0,512.0,SSD,1.2,Intel HD Graphics ,520
Dell,Latitude 7480,Ultrabook,14.0,Windows 10,1680.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7600U,2.8,8.0,512.0,SSD,1.36,,
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Windows 10,409.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,500.0,HDD,2.2,Intel HD Graphics ,520
Lenovo,Lenovo IdeaPad,Notebook,11.6,Windows 10,304.45,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3350,1.1,2.0,32.0,Flash Storage,1.15,Intel HD Graphics ,500
Lenovo,ThinkPad P51,Workstation,15.6,Windows 10,1925.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,512.0,SSD,2.67,Nvidia Quadro M,1200
Lenovo,Thinkpad T470p,Ultrabook,14.0,Windows 10,1943.0,2560,1440,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,512.0,SSD,1.7,Nvidia GeForce GT ,940
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,Windows 10,469.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,1024.0,HDD,2.1,AMD Radeon ,520
Acer,Aspire R7,2 in 1 Convertible,13.3,Windows 10,789.01,1920,1080,1.7777777777777777,IPS Panel Full HD ,Yes,Intel,Core i7 6500U,2.5,8.0,256.0,SSD,1.6,Intel HD Graphics ,520
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Windows 10,928.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,Yes,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.27,Intel HD Graphics ,620
Dell,Inspiron 3567,Notebook,15.6,Linux,598.9,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,4.0,256.0,SSD,2.3,AMD Radeon R,5
Dell,Latitude 3380,Notebook,13.3,Windows 10,689.0,1366,768,1.7786458333333333,Other,No,Intel,Core i3 6006U,2.0,4.0,128.0,SSD,1.65,Intel HD Graphics ,520
HP,EliteBook 1040,Ultrabook,14.0,Windows 10,1500.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 6500U,2.5,8.0,256.0,SSD,1.43,Intel HD Graphics ,520
Dell,Inspiron 3567,Notebook,15.6,Windows 10,539.95,1366,768,1.7786458333333333,Other,No,Intel,Core i5 7200U,2.5,8.0,1024.0,HDD,2.14,Intel HD Graphics ,620
Lenovo,ThinkPad E480,Ultrabook,14.0,Windows 10,1215.38,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,1.75,AMD Radeon RX ,550
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,Windows 10,1899.0,3840,2160,1.7777777777777777,IPS Panel ,Yes,Intel,Core i7 7700HQ,2.8,16.0,512.0,SSD,2.0,Nvidia GeForce GTX ,1050
Chuwi,LapBook 12.3,Notebook,12.3,Windows 10,449.0,2736,1824,1.5,IPS Panel Retina Display ,No,Intel,Celeron Quad Core N3450,1.1,6.0,64.0,Flash Storage,1.4,Intel HD Graphics ,500
HP,ProBook 650,Notebook,15.6,Windows 10,1427.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7820HQ,2.9,8.0,256.0,SSD,2.31,Intel HD Graphics ,630
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Linux,597.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 7100U,2.4,8.0,1024.0,HDD,2.3,Nvidia GeForce ,940
Dell,Alienware 17,Gaming,17.3,Windows 10,2799.0,2560,1440,1.7777777777777777,IPS Panel ,No,Intel,Core i7 7820HK,2.9,16.0,256.0,SSD,4.42,Nvidia GeForce GTX ,1070
Dell,Inspiron 7577,Gaming,15.6,Windows 10,1159.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,128.0,SSD,2.62,Nvidia GeForce GTX ,1050
Dell,Inspiron 5570,Notebook,15.6,Windows 10,1142.4,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,2.02,AMD Radeon ,530
Dell,Latitude 5480,Ultrabook,14.0,Linux,1099.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7600U,2.8,8.0,256.0,SSD,1.6,Intel HD Graphics ,620
HP,Omen 17-w207nv,Gaming,17.3,Windows 10,1999.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,12.0,256.0,SSD,3.35,Nvidia GeForce GTX ,1070
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,Windows 10,299.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,Yes,Intel,Celeron Dual Core N3350,1.1,4.0,32.0,SSD,1.16,Intel HD Graphics ,500
Samsung,Chromebook 3,Netbook,11.6,Chrome OS,269.0,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3060,1.6,4.0,16.0,Flash Storage,1.15,Intel HD Graphics ,400
Lenovo,Thinkpad 13,Notebook,13.3,Windows 10,1010.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,1.4,Intel HD Graphics ,620
Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,Windows 10,599.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i3 7130U,2.7,4.0,128.0,SSD,1.7,Intel HD Graphics ,620
Lenovo,Thinkpad T570,Workstation,15.6,Windows 10,2445.0,3840,2160,1.7777777777777777,IPS Panel ,No,Intel,Core i7 7600U,2.8,16.0,512.0,SSD,2.3,Nvidia GeForce ,940
Lenovo,Thinkpad P51,Notebook,15.6,Windows 10,2449.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7820HQ,2.9,16.0,512.0,SSD,2.5,Nvidia Quadro M,2200
Asus,Rog Strix,Gaming,17.3,Windows 10,1695.0,1920,1080,1.7777777777777777,Full HD ,No,AMD,Ryzen 1600,3.2,8.0,256.0,SSD,3.2,AMD Radeon RX ,580
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,Windows 10,347.0,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3060,1.6,4.0,500.0,HDD,2.1,Intel HD Graphics ,400
Google,Pixelbook (Core,Ultrabook,12.3,Chrome OS,2199.0,2400,1600,1.5,Touchscreen ,Yes,Intel,Core i7 7Y75,1.3,16.0,512.0,SSD,1.1,Intel HD Graphics ,615
Lenovo,ThinkPad T470s,Ultrabook,14.0,Windows 10,2382.0,2560,1440,1.7777777777777777,Other,No,Intel,Core i7 7500U,2.7,24.0,512.0,SSD,1.32,Intel HD Graphics ,620
Asus,VivoBook Max,Notebook,15.6,Linux,559.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,4.0,256.0,SSD,2.0,Intel HD Graphics ,620
Lenovo,IdeaPad 320-15AST,Notebook,17.3,Windows 10,519.0,1600,900,1.7777777777777777,Other,No,AMD,A6-Series 9220,2.5,8.0,1024.0,HDD,2.8,AMD Radeon R,4
Dell,Inspiron 5570,Notebook,15.6,Windows 10,749.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,4.0,256.0,SSD,2.2,AMD Radeon ,530
Lenovo,ThinkPad X270,Ultrabook,12.5,Windows 10,1429.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.36,Intel HD Graphics ,620
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Windows 10,349.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Pentium Quad Core N4200,1.1,4.0,128.0,SSD,2.2,Intel HD Graphics ,505
HP,Omen 15-AX205na,Gaming,15.6,Windows 10,1099.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,128.0,SSD,2.2,Nvidia GeForce GTX ,1050
Dell,Latitude 5480,Notebook,14.0,Windows 10,1179.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7440HQ,2.8,8.0,256.0,SSD,1.64,Nvidia GeForce ,930
Acer,Aspire ES1-572,Notebook,15.6,Linux,441.8,1366,768,1.7786458333333333,Other,No,Intel,Core i5 7200U,2.5,4.0,500.0,HDD,2.4,Intel HD Graphics ,620
Dell,Precision 3520,Workstation,15.6,Windows 10,1993.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Xeon E3-1505M V6,3.0,8.0,64.0,Flash Storage,2.23,Nvidia Quadro M,620
MSI,GV62 7RD-1686NL,Gaming,15.6,Windows 10,1027.74,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7300HQ,2.5,8.0,256.0,SSD,2.2,Nvidia GeForce GTX ,1050
Microsoft,Surface Laptop,Ultrabook,13.5,Windows 10 S,2589.0,2256,1504,1.5,Touchscreen ,Yes,Intel,Core i7 7660U,2.5,16.0,512.0,SSD,1.25,Intel Iris Plus Graphics ,640
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,Windows 10,589.0,1366,768,1.7786458333333333,Other,No,Intel,Core i5 7200U,2.5,8.0,128.0,SSD,1.91,Intel HD Graphics ,620
Dell,Precision 3520,Workstation,15.6,Windows 10,1975.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 6820HQ,2.7,16.0,256.0,SSD,2.17,Nvidia Quadro M,620
HP,ProBook 650,Workstation,15.6,Windows 10,1534.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7820HQ,2.9,8.0,512.0,SSD,2.31,Intel HD Graphics ,620
Lenovo,ThinkPad T470,Notebook,14.0,Windows 10,1345.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.65,Intel HD Graphics ,620
Dell,Inspiron 5570,Notebook,15.6,Windows 10,979.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,128.0,SSD,2.36,AMD Radeon ,530
Dell,Inspiron 3168,2 in 1 Convertible,11.6,Windows 10,479.0,1366,768,1.7786458333333333,Touchscreen ,Yes,Intel,Pentium Quad Core N3710,1.6,4.0,500.0,HDD,1.47,Intel HD Graphics ,405
Dell,Alienware 17,Notebook,17.3,Windows 10,2046.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.7,8.0,1024.0,HDD,4.42,Nvidia GeForce GTX ,1060
Microsoft,Surface Laptop,Ultrabook,13.5,Windows 10 S,989.0,2256,1504,1.5,Touchscreen ,Yes,Intel,Core M m3-7Y30,2.2,4.0,128.0,SSD,1.252,Intel HD Graphics ,615
